002065797-0003,2012-06-29,Urząd Harmonizacji Rynku Wewnętrznego,Zamek do broni palnej wersja 0003,Wzór przemysłowy,Andrzej Arczewski/Piotr Dygas/Andrzej Wróblewski/Tomasz Płatos/Mirosław Zahor/Ryszard Bogumił Woźniak,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002065920-0001,2012-06-29,Urząd Harmonizacji Rynku Wewnętrznego,Bagnet,Wzór przemysłowy,Andrzej Arczewski/Mariusz Zawisza/Paweł Madej/Adam Gawron/Mirosław Zahor/Ryszard Bogumił Woźniak,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002065938-0001,2012-06-29,Urząd Harmonizacji Rynku Wewnętrznego,Pochwa na broń,Wzór przemysłowy,Ryszard Bogumił Woźniak/Mirosław Zahor,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002065946-0001,2012-06-29,Urząd Harmonizacji Rynku Wewnętrznego,Przyłącze pochwy na bagnet,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Mariusz Zawisza/Paweł Madej/Ryszard Bogumił Woźniak/Mirosław Zahor,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002078303-0001,2012-07-24,Urząd Harmonizacji Rynku Wewnętrznego,"7,62 mm karabin maszynowy UKM-2013P",Wzór przemysłowy,Tadeusz Świętek/Paweł Typer/Mirosław Zahor/Ryszard Bogumił Woźniak,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002078329-0001,2012-07-24,Urząd Harmonizacji Rynku Wewnętrznego,"12,7 mm wielkokalibrowy karabin maszynowy WKM-B-2013",Wzór przemysłowy,Tadeusz Świętek/Paweł Typer/Jakub Aleksander Michalski/Mirosław Zahor/Ryszard Bogumił Woźniak,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002085472-0001,2012-08-14,Urząd Harmonizacji Rynku Wewnętrznego,Implant medyczny,Wzór przemysłowy,Marcin Karol Kozakiewicz,Uniwersytet Medyczny w Łodzi; Wydział Wojskowo-Lekarski
002112250,2012-10-11,Urząd Harmonizacji Rynku Wewnętrznego,Komulmna głośnikowa,Wzór przemysłowy,Zygmunt Wróbel/Robert Koprowski,Uniwersytet Śląski w Katowicach; Wydział Informatyki i Nauki o Materiałach
002173419-0001,2013-02-05,Światowa Organizacja Własności Intelektualnej,Pojazd szynowy,Wzór przemysłowy,Bartosz Rafał Piotrowski,Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy; Wydział Inżynierii Mechanicznej/Pojazdy Szynowe PESA Bydgoszcz SA
002206243,2013-03-21,Polska,Przystań pływająca,Wzór przemysłowy,ANDRZEJ PONIEWIERKA,Politechnika Wrocławska; Wydział Architektury
002206243,2013-03-21,Urząd Harmonizacji Rynku Wewnętrznego,Przystań pływająca,Wzór przemysłowy,ANDRZEJ PONIEWIERKA,Politechnika Wrocławska; Wydział Architektury
002208199,2013-04-03,Urząd Harmonizacji Rynku Wewnętrznego,Kamizelka,Wzór przemysłowy,MICHAŁ SZCZĘSNY PELCZARSKI,Politechnika Wrocławska; Wydział Architektury
002215608-0001,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0002,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0003,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0004,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0005,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0006,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0007,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0008,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0009,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0010,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0011,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0012,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0013,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0014,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0015,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0016,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0017,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0018,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0019,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0020,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0021,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002215608-0022,2013-04-08,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002264846-0001,2013-06-28,Urząd Harmonizacji Rynku Wewnętrznego,Karabinek podstawowy MSBS – wariant 0001,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Paweł Madej/Norbert Piechota/Ryszard Bogumił Woźniak/Mirosław Zahor,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002264846-0002,2013-06-28,Urząd Harmonizacji Rynku Wewnętrznego,Karabinek podstawowy MSBS – wariant 0002,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Paweł Madej/Norbert Piechota/Mirosław Zahor/Ryszard Bogumił Woźniak,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002264903-0001,2013-06-28,Urząd Harmonizacji Rynku Wewnętrznego,Karabinek podstawowy MSBS z granatnikiem podwieszanym – wariant 0001,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Paweł Madej/Norbert Piechota/Ryszard Bogumił Woźniak/Mirosław Zahor,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002264903-0002,2013-06-28,Urząd Harmonizacji Rynku Wewnętrznego,Karabinek podstawowy MSBS z granatnikiem podwieszanym – wariant 0002,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Paweł Madej/Norbert Piechota/Ryszard Bogumił Woźniak/Mirosław Zahor,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002264960-0001,2013-06-28,Urząd Harmonizacji Rynku Wewnętrznego,Granatnik podwieszany do karabinka MSBS,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Paweł Madej/Janusz Pawlak/Mariusz Sułowski/Mirosław Zahor/Ryszard Bogumił Woźniak,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002270462-0003,2013-07-18,Urząd Harmonizacji Rynku Wewnętrznego,Minipłytka ACP-VT do zespoleń złamań wyrostków kłykciowych żuchwy,Wzór przemysłowy,Marcin Karol Kozakiewicz,Uniwersytet Medyczny w Łodzi; Wydział Wojskowo-Lekarski
002270462-001,2013-07-18,Urząd Harmonizacji Rynku Wewnętrznego,Minipłytka ACP-S do zespoleń złamań wyrostków kłykciowych żuchwy,Wzór przemysłowy,Marcin Karol Kozakiewicz,Uniwersytet Medyczny w Łodzi; Wydział Wojskowo-Lekarski
002270462-002,2013-07-18,Urząd Harmonizacji Rynku Wewnętrznego,Minipłytka ACP-T do zespoleń złamań wyrostków kłykciowych żuchwy,Wzór przemysłowy,Marcin Karol Kozakiewicz,Uniwersytet Medyczny w Łodzi; Wydział Wojskowo-Lekarski
002273318-0001,2013-07-12,Urząd Harmonizacji Rynku Wewnętrznego,Strzelba typu pump-action na bazie karabinka podstawowego MSBS,Wzór przemysłowy,Andrzej Arczewski/Paweł Madej/Tomasz Nita/Karolina Pęcherzewska/Norbert Piechota/Paweł Józef Płatek/Ryszard Bogumił Woźniak/Mirosław Zahor,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002285221-0001,2013-08-01,Urząd Harmonizacji Rynku Wewnętrznego,Pawilon wystawienniczy,Wzór przemysłowy,MICHAŁ SZCZĘSNY PELCZARSKI,Politechnika Wrocławska; Wydział Architektury
